Title,Year,Type,Rating,Votes,Score,ID,Link
The Belko Experiment,2016,Movie,6.2,64193,86,tt1082807,https://www.imdb.com/title/tt1082807
Against the Sun,2014,Movie,6.5,6841,86,tt2557276,https://www.imdb.com/title/tt2557276
Time Trap,2017,Movie,6.2,48247,84,tt4815122,https://www.imdb.com/title/tt4815122
Universal Soldier,1992,Movie,6.1,99724,83,tt0105698,https://www.imdb.com/title/tt0105698
Coma,2019,Movie,6.3,12533,80,tt6087226,https://www.imdb.com/title/tt6087226
Teacup,2024,TV Series,6.3,11242,80,tt27031263,https://www.imdb.com/title/tt27031263
Radius,2017,Movie,6.2,21327,79,tt6097798,https://www.imdb.com/title/tt6097798
Dead in a Week Or Your Money Back,2018,Movie,6.3,7187,77,tt3525168,https://www.imdb.com/title/tt3525168
Automata,2014,Movie,6,60901,75,tt1971325,https://www.imdb.com/title/tt1971325
The Room,2019,Movie,6.1,25571,75,tt8485364,https://www.imdb.com/title/tt8485364
Absolutely Anything,2015,Movie,6,52303,74,tt1727770,https://www.imdb.com/title/tt1727770
In a Valley of Violence,2016,Movie,6.1,21944,74,tt3608930,https://www.imdb.com/title/tt3608930
Kaiji: The Ultimate Gambler,2009,Movie,6.4,2214,73,tt1309449,https://www.imdb.com/title/tt1309449
The Electric State,2025,Movie,5.9,73044,71,tt7766378,https://www.imdb.com/title/tt7766378
The Machine,2013,Movie,6,32600,71,tt2317225,https://www.imdb.com/title/tt2317225
A Thousand Words,2012,Movie,5.9,46690,69,tt0763831,https://www.imdb.com/title/tt0763831
The Twilight Zone,2019,TV Series,6,19877,69,tt2583620,https://www.imdb.com/title/tt2583620
Silent Night,2021,Movie,5.8,23197,61,tt11628854,https://www.imdb.com/title/tt11628854
Caveat,2020,Movie,5.9,11068,61,tt7917178,https://www.imdb.com/title/tt7917178
The Darkest Minds,2018,Movie,5.7,39147,59,tt4073790,https://www.imdb.com/title/tt4073790
Evolution,2015,Movie,5.9,7868,59,tt4291590,https://www.imdb.com/title/tt4291590
Sweetheart,2019,Movie,5.8,10671,57,tt6560164,https://www.imdb.com/title/tt6560164
Trace,2020,TV Series,7.2,13,57,tt12484538,https://www.imdb.com/title/tt12484538
Landscape with Invisible Hand,2023,Movie,5.9,4164,56,tt7645334,https://www.imdb.com/title/tt7645334
Not Safe for Work,2014,Movie,5.8,4921,53,tt2226495,https://www.imdb.com/title/tt2226495
The Ice Pirates,1984,Movie,5.6,12455,50,tt0087451,https://www.imdb.com/title/tt0087451
Inside,2023,Movie,5.5,22138,49,tt14781036,https://www.imdb.com/title/tt14781036
